entity_name,fatal_accidents,serious_accidents,killed_bg_male,killed_bg_female,killed_oc_male,killed_oc_female,killed_ag_male,killed_ag_female,killed_total_male,killed_total_female,injured_bg_male,injured_bg_female,injured_oc_male,injured_oc_female,injured_ag_male,injured_ag_female,injured_total_male,injured_total_female
EAST GODAVARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
TOTAL : ANDHRA PRADESH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
DIBRUGARH,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0
SIBSAGAR,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TOTAL : ASSAM,1,6,0,0,0,0,1,0,1,0,0,0,0,0,6,0,6,0
BHARUCH,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,10,0
GANDHINAGAR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
MEHASANA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0
TOTAL : GUJARAT,1,6,0,0,0,0,0,0,0,0,0,0,2,0,10,0,18,0
SHAHDOL,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
TOTAL : MADHYA PRADESH,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
WEST TRIPURA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
TOTAL : TRIPURA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
ALL INDIA : OIL,4,13,0,0,0,0,0,0,5,0,0,0,0,0,5,0,25,0
UDAIPUR,3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
TOTAL : RAJASTHAN,3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ALL INDIA : ASBESTOS,3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
SAHEBGANJ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
TOTAL : JHARKHAND,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ALL INDIA : CHINA CLAY,CLAY,WHITE-CLAY",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
JHUNJHUNU,1,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0
TOTAL : RAJASTHAN,1,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0
ALL INDIA : COPPER,1,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0
AJMER,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BHILWARA,1,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0
UDAIPUR,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RAJSAMAND,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
TOTAL : RAJASTHAN,3,4,2,1,0,0,0,0,2,1,3,0,0,0,1,0,4,0
ALL INDIA : GALENA & SPHALARITE,3,4,2,1,0,0,0,0,2,1,3,0,0,0,1,0,4,0
RAICHUR,1,4,0,0,0,0,1,0,1,0,3,0,0,0,1,0,4,0
TOTAL : KARNATAKA,1,4,0,0,0,0,1,0,1,0,3,0,0,0,1,0,4,0
ALL INDIA : GOLD,1,4,0,0,0,0,1,0,1,0,3,0,0,0,1,0,4,0
PRAKASHAM,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
TOTAL : ANDHRA PRADESH,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
BAGALKOT,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TOTAL : KARNATAKA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
