mineral,state,entity_name,employment_below_ground,employment_open_cast,employment_above_ground,employment_total
APATITE & ROCK PHOSPHATE,ANDHRA PRADESH,Vishakapatnam,27,0,12,39
APATITE & ROCK PHOSPHATE,MADHYA PRADESH,Jhabua,0,96,7,103
APATITE & ROCK PHOSPHATE,MADHYA PRADESH,Sagar,0,48,4,52
APATITE & ROCK PHOSPHATE,MADHYA PRADESH,Tikamgarh,0,39,3,42
APATITE & ROCK PHOSPHATE,MADHYA PRADESH,TOTAL : MADHYA PRADESH,0,183,14,197
APATITE & ROCK PHOSPHATE,RAJASTHAN,Udaipur,0,560,322,882
APATITE & ROCK PHOSPHATE,UTTARANCHAL,Dehradun,67,0,229,296
APATITE & ROCK PHOSPHATE,WEST BENGAL,Purulia,0,2,72,74
APATITE & ROCK PHOSPHATE,TOTAL : APATITE & ROCK PHOSPHA,TOTAL : APATITE & ROCK PHOSPHA,94,745,649,1488
BARYTES,ANDHRA PRADESH,Cuddapah,9,388,387,784
BARYTES,ANDHRA PRADESH,Nellore,0,5,13,18
BARYTES,ANDHRA PRADESH,TOTAL : ANDHRA PRADESH,9,393,400,802
BARYTES,HIMACHAL PRADESH,Sirmaur,16,0,0,16
BARYTES,RAJASTHAN,Udaipur,0,11,6,17
BARYTES,TELANGANA,Khammam,0,29,3,32
BARYTES,TOTAL : BARYTES,TOTAL : BARYTES,25,433,409,867
BAUXITE,CHHATTISGARH,Raigarh,0,1,0,1
BAUXITE,CHHATTISGARH,Surguja,0,1297,96,1393
BAUXITE,CHHATTISGARH,Kabirdham,0,572,29,601
BAUXITE,CHHATTISGARH,TOTAL : CHHATTISGARH,0,1870,125,1995
BAUXITE,GUJARAT,Jamnagar,0,204,14,218
BAUXITE,GUJARAT,Kutch,0,176,9,185
BAUXITE,GUJARAT,Porbandar,0,12,0,12
BAUXITE,GUJARAT,Wrong Code.,0,50,2,52
BAUXITE,GUJARAT,TOTAL : GUJARAT,0,442,25,467
BAUXITE,JHARKHAND,Gumla,0,1325,124,1449
BAUXITE,JHARKHAND,Lohardaga,1,707,104,812
BAUXITE,JHARKHAND,LATEHAR,0,625,113,738
BAUXITE,JHARKHAND,TOTAL : JHARKHAND,1,2657,341,2999
BAUXITE,KARNATAKA,Belgaum,0,21,9,30
BAUXITE,KARNATAKA,Udipi,0,2,1,3
BAUXITE,KARNATAKA,TOTAL : KARNATAKA,0,23,10,33
BAUXITE,MADHYA PRADESH,Balaghat,0,2,0,2
BAUXITE,MADHYA PRADESH,Chhatarpur,0,27,2,29
BAUXITE,MADHYA PRADESH,Jabalpur,0,148,12,160
BAUXITE,MADHYA PRADESH,Rewa,0,57,0,57
BAUXITE,MADHYA PRADESH,Satna,0,39,5,44
BAUXITE,MADHYA PRADESH,Shahdol,0,0,2,2
BAUXITE,MADHYA PRADESH,Katni,0,73,4,77
BAUXITE,MADHYA PRADESH,Anuppur,0,162,20,182
BAUXITE,MADHYA PRADESH,TOTAL : MADHYA PRADESH,0,508,45,553
BAUXITE,MAHARASHTRA,Kolhapur,0,313,43,356
BAUXITE,MAHARASHTRA,Ratnagiri,0,52,9,61
BAUXITE,MAHARASHTRA,Raigad,0,97,7,104
BAUXITE,MAHARASHTRA,TOTAL : MAHARASHTRA,0,462,59,521
BAUXITE,ORISSA,Koraput,0,352,475,827
BAUXITE,ORISSA,Sundergarh,0,23,30,53
BAUXITE,ORISSA,Rayagada,0,46,1,47
BAUXITE,ORISSA,TOTAL : ORISSA,0,421,506,927
BAUXITE,TAMIL NADU,Salem,0,21,12,33
BAUXITE,UTTAR PRADESH,Jhansi,0,19,1,20
BAUXITE,UTTAR PRADESH,Lalitpur,0,200,18,218
BAUXITE,UTTAR PRADESH,TOTAL : UTTAR PRADESH,0,219,19,238
BAUXITE,TOTAL : BAUXITE,TOTAL : BAUXITE,1,6623,1142,7766
CALCITE,RAJASTHAN,Sikar,98,297,0,395
CALCITE,RAJASTHAN,Sirohi,24,37,0,61
CALCITE,RAJASTHAN,TOTAL : RAJASTHAN,122,334,0,456
CALCITE,TOTAL : CALCITE,TOTAL : CALCITE,122,334,0,456
"CHINA CLAY,CLAY,WHITE-CLAY",ANDHRA PRADESH,Anantpur,0,21,0,21
"CHINA CLAY,CLAY,WHITE-CLAY",ANDHRA PRADESH,Cuddapah,0,101,1,102
"CHINA CLAY,CLAY,WHITE-CLAY",ANDHRA PRADESH,East Godavari,0,0,2,2
"CHINA CLAY,CLAY,WHITE-CLAY",ANDHRA PRADESH,West Godavari,0,27,2,29
"CHINA CLAY,CLAY,WHITE-CLAY",ANDHRA PRADESH,TOTAL : ANDHRA PRADESH,0,149,5,154
"CHINA CLAY,CLAY,WHITE-CLAY",GUJARAT,Amreli,0,10,1,11
"CHINA CLAY,CLAY,WHITE-CLAY",GUJARAT,Banas Kantha,0,36,0,36
"CHINA CLAY,CLAY,WHITE-CLAY",GUJARAT,Kutch,0,247,6,253
