mine_name,date,killed,injured,cause_code,cause_description
MASARO KI OBERI SERPENTINE MINE,14/07/15,1,0,0443,Fall of sides (other than overhangs)
CHANDRIKA GRANITE MINE,28/09/15,1,0,0993,Drowning in water
A.Subha Naidy & Co. Mica,02/02/01,9,0,0111,Fall of roof
Redhill Ruby,11/04/02,5,4,0111,Fall of roof
Hannumanoya/41B Mica,26/09/04,7,0,0112,Fall of sides (other than overhangs)
Salayakhad Mica,29/12/06,4,2,0112,Fall of sides (other than overhangs)
Chirki Mica,24/01/07,5,0,0112,Fall of sides (other than overhangs)
Murwara Limestone,10/02/08,7,2,0112,Fall of sides (other than overhangs)
Shivrajpur Manganese,06/12/10,12,0,0112,Fall of sides (other than overhangs)
Charki Mica,26/04/11,4,0,0112,Fall of sides (other than overhangs)
Make Myebya Wolfrom,04/06/12,4,0,0112,Fall of sides (other than overhangs)
North Anantapur Gold,21/10/13,7,0,0111,Fall of roof
Maya Salt,24/07/14,5,2,0441,Solid blasting projectiles
Tadaiya Mica,05/11/14,5,0,0881,Irruption of water
Wazunchaung Wolfram,12/08/16,9,0,0999,Unclassified
Aulajhari Manganese,13/05/19,4,2,0112,Fall of sides (other than overhangs)
Hsaikho(Mile 28.6) Limestone,28/01/20,5,0,0112,Fall of sides (other than overhangs)
Bhalua Mica,13/09/20,4,0,0775,"Explosion/ignition of gas/dust, etc."
Badwin Lead-Silver,18/09/20,11,0,0221,"Overwinding of cages/skip, etc. (upgoing)"
Bawdwin Silver-Lead-Zinc,19/02/23,6,1,0221,"Overwinding of cages/skip, etc. (upgoing)"
Cherangcode Mica,20/02/23,7,1,0112,Fall of sides (other than overhangs)
Telewadi Manganese,01/03/27,4,0,0112,Fall of sides (other than overhangs)
Bawdwin Silver-Lead,26/05/27,5,0,0775,"Explosion/ignition of gas/dust, etc."
Tarki Limestone,10/09/27,4,0,0112,Fall of sides (other than overhangs)
Kyauktalone Limestone,12/10/27,9,18,0441,Solid blasting projectiles
Bawdwin Silver-Lead-Zinc,16/05/29,10,0,0111,Fall of roof
Kanbank Tin and Wolfram,06/01/31,4,0,0112,Fall of sides (other than overhangs)
Taungpila Tin,14/09/31,5,0,0112,Fall of sides (other than overhangs)
Lady Rangi Mica,12/04/32,19,0,0775,"Explosion/ignition of gas/dust, etc."
Wagon North Tin & Wolfram,24/08/36,7,0,0112,Fall of sides (other than overhangs)
Salaiya Pahari Limestone,26/02/37,9,0,0112,Fall of sides (other than overhangs)
Matauni Mica,22/12/38,4,0,0112,Fall of sides (other than overhangs)
Porcupine Steatite,05/10/40,4,2,0111,Fall of roof
Tatahwa Mica,15/07/43,5,0,0225,"Falling of objects from cages, skip, etc."
Noamundi Iron,07/11/45,4,0,0112,Fall of sides (other than overhangs)
Kaza Limestone,13/05/46,4,0,0112,Fall of sides (other than overhangs)
Pattabhirama & Margin Mica,06/12/46,8,0,0881,Irruption of water
Kharonia Mica,21/01/49,5,0,0441,Solid blasting projectiles
Basorhai Diamonds,08/07/50,6,0,0112,Fall of sides (other than overhangs)
Mysore Gold,14/06/51,4,0,0114,Rock burst/bumps
